fips,total_pop,white,Gini,gini,singpar,college2000,mhi,rent_burden,opioids,unemp
37053,26363,23822,0.3841,38.4,7.812669781592959,16.228998133167394,62397,NA,19.8,3.6
37055,36222,33591,0.4317,44.9,11.568602261048305,32.14565549094808,57316,27.4,118.3,5.2
37057,165381,141830,0.4342,41.1,9.272944762154456,14.390413926936338,47595,NA,78.1,3.7
37059,42257,37753,0.4395,41.5,7.71198111351564,20.724696806735157,58147,27.1,112.5,3.5
37061,58967,42010,0.4248,46.3,10.148542918698265,8.759737063099065,39470,30.9,80.3,4.4
37063,311848,161919,0.4681,46.1,10.918377467023703,41.665126707814366,60045,29.9,54.4,3.6
37065,52648,20721,0.4728,47,14.545113311124666,10.28745194790292,35130,32.7,54.7,7
37067,375195,247912,0.5008,46.6,10.799850634802091,30.412458027509352,50803,31.1,83.9,3.9
37069,66362,44679,0.4155,42.7,10.554024798268058,15.27492152830393,53076,30.5,62.9,4.1
37071,219271,168959,0.4529,44.1,9.882436953675663,17.052357106877242,50016,NA,126.6,4
37073,11548,7314,0.4064,43.6,9.802037846919037,11.7818364188087,50164,29.1,3,4.1
37075,8509,7436,0.4322,43.8,6.058120668962266,13.177282757394673,37748,NA,114.8,5.9
37077,59328,36216,0.4298,39.8,11.192175522072429,12.391971006412044,53142,28.5,85.9,3.5
37079,21033,12519,0.4398,44.9,12.812548532380804,7.729036108624292,40131,NA,34.6,3.9
37081,527868,291462,0.4848,46.8,10.933677592931106,31.90583311885176,52284,30.6,84,4.3
37083,51190,20721,0.4969,47.5,12.220092562292553,11.90002152389152,34027,35.8,123,6.2
37085,132283,88760,0.4129,42.5,12.776755193268473,14.834448986926636,51406,29,86.5,4.8
37087,61053,58313,0.4544,44.6,5.873827448770079,18.594500218245308,47872,32,105.2,3.5
37089,114913,104809,0.4372,44.1,7.946925719701457,25.10143130846388,51314,NA,89.7,3.3
37091,24012,8422,0.4338,44.8,15.888181174805379,15.630724941114892,38786,NA,132.9,5.1
37093,53957,23935,0.43,39.8,14.929282346778418,15.282433271260087,50777,NA,60.2,5.1
37095,5213,3468,0.3824,42.5,7.605482567975062,12.14184168888507,41214,29,68.5,8.3
37097,175538,142604,0.47,44.8,8.093357271095153,20.239684528332887,56559,NA,108.8,3.7
37099,42938,35688,0.4462,45,6.594448205822613,24.882934443288242,46113,33.8,101.4,4.3
37101,196870,152007,0.4231,40.3,10.410457994332205,17.482092380016415,58647,31.9,73.6,3.7
37103,9594,6303,0.4658,45.8,11.392392598874306,10.917410335279202,41523,NA,5.4,4.3
37105,60481,44592,0.4428,42.6,12.660035219646852,15.528835808048203,53297,28.7,119.9,4.5
37107,56756,31205,0.4799,46.2,12.53884337543888,13.280663126538013,39411,30.6,82.7,4
37109,82919,74133,0.4576,41,9.378103048802913,16.4654316903738,57042,28.8,123.5,3.5
37111,45227,41437,0.4423,38.6,7.811016144349478,11.716773451618202,42853,24.9,92.7,3.5
37113,34813,32536,0.4675,48.1,6.816167950378297,21.265812002214744,42456,NA,93.8,4
37115,21499,20504,0.464,41.2,4.488778054862843,21.192865910896092,41891,NA,60.9,3.7
37117,22849,12460,0.4765,43.7,11.338308966363357,12.046204620462046,37225,28.7,82.3,5.1
37119,1074475,577943,0.4865,47.3,10.519099792715428,39.73506748193852,65750,29.2,59.7,3.9
37121,15004,14474,0.4146,42.8,6.33171464299264,14.005967437467765,40589,34.1,164.1,4.6
37123,27252,20612,0.4872,46.9,7.865392273994424,12.726654578422485,43695,27.8,70.9,4.1
37125,97294,79973,0.4648,43.5,7.355609064221394,25.69709472236548,62781,28.8,134.3,3.9
37127,94030,48968,0.4673,45.1,11.820469798657719,18.68705094977199,47597,NA,107.8,5.2
37129,227938,184851,0.491,49.1,8.104129352013151,34.953764650502244,53692,32.1,114.4,3.9
37131,19946,7900,0.4667,46.9,11.855670103092784,12.708405396056728,36190,38,1.4,5.2
37133,195069,145758,0.4098,40.7,11.931661106913138,15.732257126236183,49634,31.7,80.4,4.9
37135,144836,109195,0.5186,52.6,7.034251614485409,54.12364310299179,69422,30.3,43.9,3.3
37137,12701,9664,0.4823,44.2,7.6674317851667,16.433887871352148,48410,NA,79.8,4.2
37139,39514,23087,0.4268,45.8,16.444880235327076,16.294354838709676,46709,34.8,136.6,4.9
37141,60399,46947,0.465,40.3,9.446799602240016,15.748763303852495,52187,29.5,46.3,4.3
37143,13430,9904,0.4413,44.6,9.20013065188625,13.889985231786028,45011,41.3,37.8,4.9
37145,39345,26592,0.4322,43.1,10.373275628888289,12.831219512195123,50269,34.1,109.8,4.2
37147,178433,102087,0.4874,48.4,12.029818748781913,29.13029677828916,46229,34.6,89.4,4.4
37149,20557,18556,0.4468,43.2,6.001510454353329,27.90799180754121,45587,25.5,72.6,3.9
37151,143118,119970,0.4284,43.3,9.344883188960138,12.362899632984703,44207,28.5,76.1,3.8
37153,44997,27785,0.4655,50.8,13.870753568662167,11.064690473822075,36401,34.4,134.9,5.6
37155,132596,37096,0.4882,48.5,16.260629740289588,12.396621280887544,33714,31.9,140.1,6
37157,91077,68702,0.4498,40.6,11.183048852266039,10.784343963975079,46247,NA,131.8,4.7
37159,140296,107590,0.4452,43.3,9.231745055451977,15.970797503164695,47541,29,90.3,4.1
37161,66599,57790,0.4672,43.7,10.27925634498187,14.675650194310943,40758,29.3,103.1,5.2
37163,63385,39791,0.4685,46,12.039060061532973,11.42677682755955,41951,31.1,92.8,4.1
37165,35076,15317,0.467,46.6,15.013880320789635,15.914499405065444,37947,NA,216.7,7.5
37167,61588,51502,0.4205,42.3,6.420765027322404,13.721690991444389,49871,32.4,128.3,3.7
37169,45781,42590,0.4239,39.7,8.639432429339742,10.508791037809242,48748,NA,85.4,3.7
37171,71971,65358,0.4845,44.1,9.342413279421153,13.223782491783687,43023,28,181.6,3.6
37173,14260,9147,0.4694,43.3,11.055619434511893,15.712200565157197,41407,26.2,97.2,4.4
37175,33775,30933,0.4426,43.2,6.240998559769563,28.632923368022706,47587,NA,106.2,3.8
37177,4095,2268,0.425,47.9,11.409144325014205,12.434312957118282,35223,NA,94.8,6.4
37179,231053,187754,0.4532,43.2,9.617266950909965,25.514611750186504,77875,30.4,73.2,3.6
37181,44479,18961,0.488,46.1,14.278761331143153,12.067852531917946,39847,33.5,133.9,5.9
37183,1069079,698759,0.4441,43.7,8.758056925033463,46.55931650277779,77641,28.5,58.6,3.5
37185,19898,7900,0.4987,45.8,11.62426987147015,13.336768556200601,36831,28.3,33.9,6.1
37187,11922,5450,0.5099,46.6,13.680495304461942,12.986050393714835,36171,37.5,98.7,6.1
37189,54925,51539,0.5043,50.9,5.514986376021798,32.28390836990217,48417,50,85.5,3.6
37191,123603,78721,0.4753,42.7,12.51926738598241,15.64781578056214,44592,30.4,80.2,4.4
37193,68469,62347,0.4669,43,7.441327990841442,11.092465535187033,42453,33.2,97.4,3.8
37195,81435,41323,0.4679,45.6,12.583654431149869,16.774385408406026,44825,31.8,98.6,6.3
37197,37602,34639,0.4352,39.7,6.993481803367735,10.151678472436094,46885,28.8,64.6,3.4
37199,17760,17083,0.4367,45.3,5.537367661967446,14.917851217529194,41053,33,109.4,3.7
38001,2311,2172,0.4448,49,5.619982158786797,16.551724137931036,50847,NA,122.2,1.9
38003,10706,10046,0.4671,42.5,5.978705978705979,22.073921971252567,56696,NA,66.8,2.5
38005,6873,2793,0.5035,44,16.108247422680414,10.917478216299333,41941,NA,7.5,3.7
38007,922,895,0.4213,43.2,1.912568306010929,18.788819875776397,74312,14.3,NA,2.6
38009,6502,6048,0.441,41.9,4.152599594868332,14.900462497486428,55775,NA,41.4,3.2
38011,3148,3026,0.4332,42.3,3.6818851251840945,17.860262008733624,59451,NA,54.2,1.8
38013,2182,2099,0.4204,42.2,4.244817374136229,11.973918197984588,62629,22.4,NA,2.2
38015,94793,85927,0.4381,41.4,7.517166606432959,28.69880813692983,70075,NA,76.1,2.5
